Time,Electricity Price,Battery Power,ESS Charge,ESS Discharge,"E[0,0]","E[0,1]","E[0,2]","E[1,0]","E[1,1]","E[1,2]","E[2,0]","E[2,1]","E[2,2]"
0,0.12359999999999999,0.0,1.0,0.0,0.0,150.0,118.88710100839167,0.0,0.0,0.0,0.0,0.0,0.0
1,0.13161,150.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.67057833293612,0.0,0.0,0.0
2,0.13158499999999998,41.32942166706388,-0.0,1.0,0.0,0.0,60.6621338357497,0.0,0.0,41.32942166706388,0.0,0.0,0.0
3,0.123545,0.0,-0.0,-0.0,0.0,0.0,114.19943282913829,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12290999999999999,0.0,1.0,-0.0,0.0,150.0,110.86270396483437,0.0,0.0,0.0,0.0,0.0,0.0
5,0.129925,150.0,-0.0,-0.0,0.0,0.0,100.61685471319662,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15881,150.0,-0.0,1.0,0.0,0.0,0.0,11.957544407043514,0.0,138.0424555929565,0.0,0.0,0.0
7,0.13613,0.0,-0.0,-0.0,0.0,0.0,126.07436720814692,0.0,0.0,0.0,0.0,0.0,0.0
8,0.13597,0.0,-0.0,-0.0,0.0,0.0,112.84517638588234,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13585,0.0,1.0,-0.0,0.0,150.0,81.09169297027263,0.0,0.0,0.0,0.0,0.0,0.0
10,0.13988499999999998,150.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.2554965763652,0.0,0.0,0.0
11,0.13767500000000002,48.7445034236348,1.0,-0.0,0.0,101.2554965763652,108.65877589706108,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15869,150.0,-0.0,-0.0,0.0,0.0,101.65999094754983,0.0,0.0,0.0,0.0,0.0,0.0
13,0.227525,150.0,-0.0,1.0,0.0,0.0,0.0,42.3335189370344,0.0,107.6664810629656,0.0,0.0,0.0
14,0.13748500000000002,0.0,1.0,-0.0,0.0,150.0,101.72049664191226,0.0,0.0,0.0,0.0,0.0,0.0
15,0.331,150.0,-0.0,-0.0,0.0,0.0,106.72530634555399,0.0,0.0,0.0,0.0,0.0,0.0
16,0.380745,150.0,-0.0,1.0,0.0,0.0,0.0,42.29838961692664,0.0,107.70161038307336,0.0,0.0,0.0
17,0.28352499999999997,0.0,-0.0,-0.0,0.0,0.0,110.89145243794691,0.0,0.0,0.0,0.0,0.0,0.0
18,0.20395999999999997,0.0,-0.0,-0.0,0.0,0.0,98.26065598847855,0.0,0.0,0.0,0.0,0.0,0.0
19,0.183095,0.0,1.0,-0.0,0.0,150.0,114.846761766496,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5284300000000001,150.0,-0.0,1.0,0.0,0.0,0.0,48.32128932283163,0.0,101.67871067716837,0.0,0.0,0.0
21,0.31245500000000004,0.0,-0.0,-0.0,0.0,0.0,97.05852962221472,0.0,0.0,0.0,0.0,0.0,0.0
22,0.20894,0.0,-0.0,-0.0,0.0,0.0,98.26720907791453,0.0,0.0,0.0,0.0,0.0,0.0
23,0.14255500000000002,0.0,0.0,-0.0,0.0,0.0,109.85407550189124,0.0,0.0,0.0,0.0,0.0,0.0
