,PERIOD,sign,diff_mean,probability,mean
0,1.0,-1.0,-0.004710416666666667,0.42857142857142855,220.77428571428572
1,1.0,0.0,0.000658005,0.2857142857142857,220.77428571428572
2,1.0,1.0,0.005826255,0.2857142857142857,220.77428571428572
3,2.0,-1.0,-0.00536249,0.14285714285714285,200.54857142857142
4,2.0,0.0,-0.000269765,0.2857142857142857,200.54857142857142
5,2.0,1.0,0.004950955,0.5714285714285714,200.54857142857142
6,3.0,-1.0,-0.0014719,0.14285714285714285,155.40142857142857
7,3.0,0.0,-0.00039335999999999993,0.2857142857142857,155.40142857142857
8,3.0,1.0,0.005090797499999999,0.5714285714285714,155.40142857142857
9,4.0,-1.0,-0.0028254250000000003,0.2857142857142857,155.4485714285714
10,4.0,1.0,0.005883016,0.7142857142857143,155.4485714285714
11,5.0,-1.0,-0.00184899,0.2857142857142857,153.99571428571429
12,5.0,0.0,-0.00030958,0.14285714285714285,153.99571428571429
13,5.0,1.0,0.0049745349999999995,0.5714285714285714,153.99571428571429
14,6.0,-1.0,-0.00152873,0.14285714285714285,149.39142857142858
15,6.0,0.0,0.00013881,0.2857142857142857,149.39142857142858
16,6.0,1.0,0.004548475,0.5714285714285714,149.39142857142858
17,7.0,-1.0,-0.0046384,0.14285714285714285,143.64142857142858
18,7.0,0.0,5.75e-05,0.14285714285714285,143.64142857142858
19,7.0,1.0,0.0039967,0.7142857142857143,143.64142857142858
20,8.0,0.0,4.4685e-05,0.2857142857142857,142.0557142857143
21,8.0,1.0,0.004567814,0.7142857142857143,142.0557142857143
22,9.0,-1.0,-0.00315339,0.14285714285714285,139.28857142857143
23,9.0,0.0,0.0007258300000000001,0.2857142857142857,139.28857142857143
24,9.0,1.0,0.0076928050000000005,0.5714285714285714,139.28857142857143
25,10.0,-1.0,-0.0025869150000000004,0.2857142857142857,138.5
26,10.0,1.0,0.005307378000000001,0.7142857142857143,138.5
27,11.0,-1.0,-0.00348987,0.2857142857142857,140.10714285714286
28,11.0,0.0,-0.00030102,0.14285714285714285,140.10714285714286
29,11.0,1.0,0.0064138375,0.5714285714285714,140.10714285714286
30,12.0,-1.0,-0.00142429,0.14285714285714285,150.0914285714286
31,12.0,0.0,-0.00084327,0.14285714285714285,150.0914285714286
32,12.0,1.0,0.005166136000000001,0.7142857142857143,150.0914285714286
33,13.0,-1.0,-0.004054385000000001,0.2857142857142857,193.31285714285715
34,13.0,0.0,0.00027755,0.2857142857142857,193.31285714285715
35,13.0,1.0,0.004314866666666666,0.42857142857142855,193.31285714285715
36,14.0,-1.0,-0.00479263,0.42857142857142855,175.81571428571428
37,14.0,0.0,4.456e-05,0.14285714285714285,175.81571428571428
38,14.0,1.0,0.004570046666666667,0.42857142857142855,175.81571428571428
39,15.0,-1.0,-0.0028488000000000003,0.14285714285714285,161.71571428571428
40,15.0,0.0,0.00030705500000000003,0.2857142857142857,161.71571428571428
41,15.0,1.0,0.0047822975,0.5714285714285714,161.71571428571428
42,16.0,-1.0,-0.00522407,0.14285714285714285,177.31857142857143
43,16.0,0.0,-0.00037265,0.14285714285714285,177.31857142857143
44,16.0,1.0,0.005637042,0.7142857142857143,177.31857142857143
45,17.0,-1.0,-0.003916785,0.5714285714285714,173.70428571428573
46,17.0,1.0,0.0034940666666666664,0.42857142857142855,173.70428571428573
47,18.0,-1.0,-0.005170289999999999,0.14285714285714285,190.23714285714283
48,18.0,1.0,0.005915576666666667,0.8571428571428571,190.23714285714283
49,19.0,-1.0,-0.004277626666666667,0.42857142857142855,162.8242857142857
50,19.0,0.0,0.00071689,0.14285714285714285,162.8242857142857
51,19.0,1.0,0.005327553333333334,0.42857142857142855,162.8242857142857
52,20.0,-1.0,-0.0051819349999999995,0.2857142857142857,164.1585714285714
53,20.0,0.0,0.00025245,0.14285714285714285,164.1585714285714
54,20.0,1.0,0.0044671775,0.5714285714285714,164.1585714285714
55,21.0,-1.0,-0.004090134,0.7142857142857143,171.94
56,21.0,1.0,0.002154295,0.2857142857142857,171.94
57,22.0,-1.0,-0.006530722857142858,1.0,183.94142857142856
58,23.0,-1.0,-0.008642816666666667,0.8571428571428571,174.24428571428572
59,23.0,0.0,0.00039002000000000004,0.14285714285714285,174.24428571428572
60,24.0,-1.0,-0.01098409,0.8571428571428571,152.23714285714286
61,24.0,1.0,0.00482304,0.14285714285714285,152.23714285714286
62,25.0,-1.0,-0.011465447999999998,0.7142857142857143,172.48142857142855
63,25.0,0.0,-0.00062112,0.14285714285714285,172.48142857142855
64,25.0,1.0,0.0069670900000000004,0.14285714285714285,172.48142857142855
65,26.0,-1.0,-0.014389907499999998,0.5714285714285714,210.75285714285715
66,26.0,0.0,-0.00060567,0.14285714285714285,210.75285714285715
67,26.0,1.0,0.008848605,0.2857142857142857,210.75285714285715
68,27.0,-1.0,-0.0155568025,0.5714285714285714,277.84857142857146
69,27.0,1.0,0.013470643333333332,0.42857142857142855,277.84857142857146
70,28.0,-1.0,-0.013007923333333333,0.42857142857142855,358.85714285714283
71,28.0,0.0,0.00016393,0.14285714285714285,358.85714285714283
72,28.0,1.0,0.018125056666666667,0.42857142857142855,358.85714285714283
73,29.0,-1.0,-0.010541566666666667,0.42857142857142855,711.0042857142856
74,29.0,0.0,-0.00015962,0.14285714285714285,711.0042857142856
75,29.0,1.0,0.020795066666666667,0.42857142857142855,711.0042857142856
76,30.0,-1.0,-0.008579149999999999,0.42857142857142855,687.4771428571429
77,30.0,1.0,0.0079385675,0.5714285714285714,687.4771428571429
78,31.0,-1.0,-0.01168948,0.2857142857142857,291.04285714285714
