"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","29-Oct-2023","43","265.21","266.39","0.61","-2.930","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","29-Oct-2023","44","248.59","249.23","0.40","-2.180","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","29-Oct-2023","45","242.77","242.22","0.40","-0.990","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","29-Oct-2023","46","200.39","199.42","0.28","-0.450","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","29-Oct-2023","47","168.85","168.71","0.26","-1.260","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","29-Oct-2023","48","142.57","142.10","0.17","-0.840","0.00","0.45","0.3703","0.0000","0.3209"
"WEP","30-Oct-2023","1","134.28","133.80","0.16","-0.790","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","2","133.58","133.68","0.15","-1.360","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","3","135.84","135.71","0.14","-1.130","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","4","136.53","135.71","0.14","-0.440","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","5","136.30","135.70","0.14","-0.650","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","6","134.06","133.64","0.14","-0.840","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","7","134.33","133.63","0.14","-0.550","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","8","129.57","129.36","0.14","-1.050","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","9","130.06","129.36","0.14","-0.550","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","10","131.46","130.62","0.15","-0.430","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","11","136.58","135.65","0.16","-0.340","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","12","136.45","135.81","0.17","-0.650","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","13","139.82","139.53","0.19","-1.020","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","14","140.75","140.75","0.30","-1.410","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","15","136.23","135.88","1.00","-1.760","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","16","146.11","146.02","0.98","-2.010","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","17","135.68","135.94","0.18","-1.560","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","18","136.46","135.99","0.89","-1.530","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","19","135.83","136.00","0.26","-1.540","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","20","136.07","136.00","0.30","-1.350","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","21","136.07","136.02","0.28","-1.350","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","22","135.49","136.03","0.22","-1.870","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","23","133.17","134.05","0.16","-2.150","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","24","135.81","136.00","0.16","-1.460","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","25","135.53","136.01","0.24","-1.830","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","26","135.11","136.01","0.24","-2.250","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","27","138.93","140.33","0.23","-2.750","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","28","166.81","168.05","0.45","-2.810","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","29","200.96","202.55","0.69","-3.400","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","30","371.64","374.73","1.78","-5.990","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","31","412.45","412.61","1.65","-2.920","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","32","355.85","357.73","1.47","-4.470","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","33","270.59","273.26","0.75","-4.530","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","34","389.61","395.52","1.64","-8.670","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","35","406.59","410.65","1.56","-6.730","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","36","369.41","372.84","1.86","-6.410","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","37","277.70","274.67","2.75","-0.830","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","38","275.63","273.44","1.79","-0.710","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","39","276.92","273.46","2.67","-0.320","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","40","203.80","202.14","1.30","-0.750","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","41","166.81","166.50","0.91","-1.720","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","42","155.10","155.71","0.60","-2.320","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","43","139.65","140.35","0.26","-2.070","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","44","135.27","136.06","0.17","-2.070","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","45","137.90","137.63","0.17","-1.020","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","46","135.86","135.96","0.18","-1.390","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","47","136.25","135.94","0.17","-0.970","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","30-Oct-2023","48","136.26","135.91","0.17","-0.940","0.00","0.45","0.3703","0.0000","0.2937"
"WEP","31-Oct-2023","1","149.80","148.14","0.16","0.380","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","2","149.32","148.00","0.15","0.050","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","3","149.33","147.99","0.14","0.090","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","4","149.36","148.13","0.14","-0.020","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","5","145.50","144.86","0.14","-0.610","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","6","136.87","135.64","0.14","-0.030","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","7","136.99","135.43","0.14","0.310","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","8","134.49","133.57","0.14","-0.330","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","9","135.22","133.57","0.14","0.400","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","10","137.26","135.43","0.16","0.560","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","11","150.07","148.11","0.15","0.690","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","12","161.45","158.87","0.18","1.280","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","13","166.18","164.57","0.21","0.290","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","14","165.64","164.57","0.30","-0.340","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","15","158.69","157.80","0.99","-1.220","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","16","174.65","173.65","0.97","-1.090","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","17","142.15","142.13","0.27","-1.370","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","18","140.97","140.29","0.90","-1.340","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","19","136.62","136.01","0.38","-0.890","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","20","150.16","148.37","0.61","0.070","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","21","150.09","148.38","0.56","0.040","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","22","138.30","137.17","0.28","-0.260","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","23","136.92","136.00","0.51","-0.710","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","24","136.29","135.99","0.32","-1.130","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","25","136.31","136.00","0.30","-1.100","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","26","140.81","140.32","0.49","-1.110","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","27","161.66","160.44","0.52","-0.410","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","28","273.21","273.46","0.73","-2.090","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","29","216.30","215.71","0.76","-1.290","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","30","274.46","273.31","0.81","-0.770","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","31","289.21","285.43","0.83","1.840","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","32","276.47","273.62","0.76","0.980","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","33","247.89","245.62","0.76","0.400","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","34","245.49","246.35","0.89","-2.860","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","35","244.76","246.41","0.84","-3.600","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","36","245.55","246.34","1.01","-2.910","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","37","277.13","273.38","2.64","-0.010","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","38","293.03","290.77","0.97","0.180","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","39","280.66","274.55","2.66","2.340","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","40","204.14","202.36","1.08","-0.420","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","41","196.82","194.52","0.96","0.220","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","42","175.09","173.78","0.62","-0.420","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","43","153.18","152.38","0.26","-0.570","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","44","136.94","136.07","0.17","-0.420","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","45","163.75","162.17","0.17","0.300","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","46","141.79","140.29","0.18","0.200","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","47","165.76","164.20","0.17","0.270","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","31-Oct-2023","48","143.32","142.02","0.17","0.020","0.00","0.45","0.3703","0.0000","0.2925"
"WEP","01-Nov-2023","1","144.35","144.28","0.16","-0.960","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","2","145.21","144.27","0.15","-0.080","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","3","145.43","144.27","0.14","0.150","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","4","145.22","144.26","0.14","-0.050","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","5","144.99","144.29","0.14","-0.310","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","6","144.80","144.12","0.14","-0.330","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","7","144.79","144.13","0.14","-0.350","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","8","144.91","144.08","0.14","-0.180","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","9","145.42","144.06","0.14","0.350","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","10","145.53","144.07","0.15","0.430","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","11","145.40","144.09","0.15","0.290","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","12","164.89","163.68","0.18","0.160","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","13","176.63","175.99","0.29","-0.520","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","14","215.00","214.19","0.66","-0.720","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","15","227.30","226.54","1.12","-1.230","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","16","250.80","248.93","1.76","-0.760","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","17","283.14","281.57","2.23","-1.540","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","18","357.89","354.81","3.80","-1.590","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","19","202.29","200.68","1.62","-0.890","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","20","174.47","173.88","1.23","-1.520","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","21","159.56","159.14","0.90","-1.360","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","22","199.96","200.69","1.28","-2.880","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","23","181.08","181.59","0.99","-2.370","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","24","154.95","155.42","0.63","-1.970","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","25","159.91","160.46","0.79","-2.210","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","26","214.64","214.77","1.56","-2.560","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","27","392.37","386.95","2.85","-4.920","6.62","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","28","485.95","485.14","2.84","-6.540","3.63","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","29","186.01","184.47","1.49","-0.820","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","30","293.27","292.75","2.47","-2.820","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","31","203.51","202.49","1.31","-1.170","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","32","252.00","253.24","1.89","-4.000","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","33","296.64","295.33","2.55","-4.500","2.39","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","34","381.21","377.97","3.15","-6.050","5.27","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","35","378.39","375.34","2.92","-4.190","3.46","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","36","351.62","350.20","3.06","-2.520","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","37","177.52","174.02","3.33","-0.700","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","38","145.26","144.50","0.97","-1.080","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","39","146.37","144.50","2.21","-1.210","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","40","144.98","144.51","1.36","-1.760","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","41","145.44","144.51","1.05","-1.000","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","42","145.17","144.52","0.60","-0.820","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","43","393.47","393.43","2.87","-3.700","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","44","188.96","188.50","0.58","-0.990","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","45","165.33","163.62","0.60","0.240","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","46","145.62","144.46","0.19","0.090","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","47","164.14","163.48","0.17","-0.380","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","01-Nov-2023","48","144.98","144.35","0.17","-0.410","0.00","0.20","0.3703","0.0000","0.3019"
"WEP","02-Nov-2023","1","134.53","133.65","0.16","-0.160","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","2","129.86","129.22","0.17","-0.400","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","3","130.84","130.22","0.14","-0.400","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","4","134.88","133.62","0.14","0.250","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","5","134.32","133.61","0.14","-0.300","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","6","127.88","127.49","0.14","-0.620","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","7","128.78","128.34","0.14","-0.580","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","8","131.28","130.44","0.14","-0.170","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","9","128.51","127.37","0.14","0.130","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","10","128.26","127.37","0.15","-0.140","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","11","128.41","127.39","0.15","-0.010","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","12","135.01","133.61","0.18","0.350","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","13","141.40","140.23","0.38","-0.080","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","14","141.00","140.25","0.40","-0.530","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","15","139.23","138.18","1.13","-0.950","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","16","145.90","144.43","1.17","-0.570","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","17","160.87","160.39","0.90","-1.290","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","18","185.75","183.77","2.00","-0.890","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","19","175.09","174.01","1.12","-0.910","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","20","175.43","173.88","1.48","-0.800","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","21","178.96","178.66","1.24","-1.810","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","22","181.28","181.55","1.19","-2.330","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","23","153.84","153.78","0.84","-1.660","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","24","140.99","140.31","0.75","-0.940","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","25","134.92","133.98","0.85","-0.780","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","26","149.28","148.38","0.86","-0.840","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","27","176.30","174.04","1.33","0.060","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","28","189.65","188.03","1.26","-0.510","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","29","134.86","134.06","0.81","-0.890","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","30","133.61","134.07","0.56","-1.890","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","31","145.04","144.86","0.76","-1.450","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","32","174.26","173.93","0.94","-1.480","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","33","265.08","265.69","1.68","-3.170","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","34","288.28","289.95","2.70","-5.250","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","35","289.83","289.82","2.61","-3.500","0.03","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","36","185.49","185.51","1.66","-2.550","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","37","262.64","261.56","4.03","-3.820","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","38","195.99","196.09","1.77","-2.740","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","39","216.01","214.80","3.21","-2.880","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","40","214.61","214.78","2.47","-3.520","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","41","228.25","228.76","2.33","-3.710","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","42","181.55","182.73","0.97","-3.020","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","43","263.71","265.77","1.18","-4.110","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","44","253.09","255.18","0.90","-3.870","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","45","4505.30","4500.00","0.84","3.590","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","46","263.75","265.37","0.76","-3.250","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","47","257.73","260.01","0.60","-3.750","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","02-Nov-2023","48","179.97","180.86","0.19","-1.950","0.00","0.20","0.3703","0.0000","0.3032"
"WEP","03-Nov-2023","1","172.97","173.32","0.16","-1.380","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","2","143.59","144.36","0.16","-1.800","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","3","161.20","161.26","0.14","-1.070","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","4","170.65","171.33","0.14","-1.690","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","5","161.51","161.56","0.14","-1.060","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","6","156.80","156.68","0.14","-0.890","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","7","153.07","153.78","0.14","-1.720","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","8","146.30","146.02","0.14","-0.730","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","9","144.27","144.13","0.14","-0.880","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","10","143.95","144.23","0.15","-1.300","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","11","139.13","139.40","0.15","-1.290","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","12","144.53","144.09","0.26","-0.690","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","13","389.79","392.13","0.66","-3.870","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","14","205.47","204.52","0.69","-0.610","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","15","173.94","173.97","1.12","-2.020","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","16","191.39","191.16","1.48","-2.120","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","17","174.05","173.71","0.79","-1.320","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","18","175.81","174.19","1.72","-0.970","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","19","181.34","181.21","0.82","-1.560","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","20","182.90","182.39","1.06","-1.430","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","21","183.99","185.21","0.80","-2.890","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","22","286.48","290.37","0.73","-5.490","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","23","287.19","290.33","0.64","-4.650","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","24","174.05","175.22","0.47","-2.510","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","25","221.07","223.43","0.70","-3.930","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","26","287.29","290.29","0.78","-4.650","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","27","286.39","290.35","0.62","-5.450","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","28","535.25","511.61","0.84","-3.570","25.50","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","29","667.58","635.42","0.94","-3.470","33.82","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","30","299.02","291.25","0.74","-2.310","8.47","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","31","294.19","290.18","0.75","-2.780","5.17","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","32","317.61","292.46","0.74","-4.840","28.37","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","33","651.17","637.31","0.80","-12.690","24.88","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","34","821.16","805.77","1.39","-18.930","32.07","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","35","817.56","805.78","0.86","-17.070","27.12","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","36","628.78","638.71","1.93","-12.730","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","37","564.07","566.82","4.23","-7.850","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","38","498.42","503.53","0.99","-6.980","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","39","501.97","503.51","3.52","-5.930","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","40","451.45","454.75","1.31","-5.480","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","41","450.96","453.24","2.22","-5.380","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","42","386.60","387.86","1.51","-3.640","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","43","288.20","290.38","0.78","-3.830","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","44","237.84","241.01","0.57","-4.610","0.00","0.20","0.3703","0.0000","0.3004"
"WEP","03-Nov-2023","45","231.11","233.59","0.58","-3.930","0.00","0.20","0.3703","0.0000","0.3004"
